Correspondencia
Circulares
Informes de labores
Minutas de reuniones
Expedientes de tramites administrativos
Controles
Expedientes de transferencias de documentos
Informes tecnicos
Expedientes de proyectos y programas institucionales
Actas de eliminacion de documentos
Expedientes de tablas de plazos
Informes de participacion en Comision Interinstitucional de Encargados de Archivos Publicos
Instrumentos tecnicos archivisticos
Expedientes de tramites laborales
Expedientes de tablas de control de acceso de documentos
